,Molecule ChEMBL ID,Standard Value,Smiles,Receptor_class,MW,LogP,NumHAcceptors,NumHDonors,pIC50
641,CHEMBL256362,1.0,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)C)c34)cc2C)cn1,active,457.5340000000003,5.033040000000003,7.0,1.0,9.0
642,CHEMBL554,9.8,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,active,581.0690000000002,6.139100000000005,8.0,2.0,8.008773924307505
643,CHEMBL249303,89.0,CCN(CC)Cc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,active,447.5460000000002,5.558200000000005,5.0,2.0,7.050609993355087
644,CHEMBL480349,6.0,CS(=O)(=O)CCNCc1ccc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)o1,active,587.0980000000002,6.200600000000005,9.0,2.0,8.221848749616356
645,CHEMBL77030,5700.0,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,intermediate,220.253,1.2908799999999998,4.0,3.0,5.2441251443275085
646,CHEMBL1683949,6500.0,Cc1cc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)ncn1,intermediate,343.789,4.900120000000003,4.0,1.0,5.187086643357144
647,CHEMBL1683961,150.0,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCCN1CCOCC1,active,494.9980000000004,5.364020000000005,6.0,1.0,6.823908740944319
648,CHEMBL1683975,810.0,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCNCc1ccccc1,active,501.0050000000002,6.431520000000005,5.0,2.0,6.0915149811213505
649,CHEMBL249094,100000.0,CC(C)OCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,inactive,434.50300000000016,5.6414000000000035,5.0,2.0,4.0
650,CHEMBL276711,100000.0,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,inactive,238.29000000000002,3.1242400000000004,1.0,2.0,4.0
651,CHEMBL215033,90.0,COc1cc(Nc2ncnc3ccc(-c4ccc(CNCCS(C)(=O)=O)o4)cc23)ccc1OCc1cccc(F)c1,active,576.6500000000003,5.494300000000004,9.0,2.0,7.045757490560675
652,CHEMBL2105719,46.0,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1.O,active,487.9630000000004,4.3304000000000045,6.0,2.0,7.337242168318426
653,CHEMBL370934,3000.0,CCOC(=O)c1cn2ncnc(Nc3cccc(Br)c3)c2c1CC,intermediate,389.25300000000016,3.9745000000000026,6.0,1.0,5.522878745280337
654,CHEMBL213818,31.0,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)cc4)c3c2)o1,active,546.6240000000003,5.485700000000005,8.0,2.0,7.508638306165727
655,CHEMBL195029,2500.0,COc1cc(Nc2c(C#N)cnc3cc4cc(OCCN5CCOCC5)c(OC)cc4cc23)c(Cl)cc1Cl,intermediate,553.4460000000004,6.038280000000005,8.0,1.0,5.6020599913279625
656,CHEMBL202411,2.1,O=C(C#CCO)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,active,370.77100000000013,3.1001000000000003,5.0,3.0,8.67778070526608
657,CHEMBL202360,1.9,C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,active,367.206,3.707600000000001,4.0,2.0,8.721246399047171
658,CHEMBL202425,116.0,CCN(CC)CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,active,426.88300000000015,3.8446000000000016,6.0,2.0,6.935542010773082
659,CHEMBL280757,7.3,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,active,387.21200000000005,4.399500000000002,4.0,2.0,8.136677139879543
660,CHEMBL93049,9.0,COCOCC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,active,441.2850000000001,3.6983000000000015,6.0,2.0,8.045757490560675
661,CHEMBL545315,16.0,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,active,558.8690000000005,5.235100000000005,7.0,2.0,7.795880017344075
662,CHEMBL3133821,1300.0,Oc1cccc(Nc2ccnc3[nH]c4ccccc4c23)c1,intermediate,275.31100000000004,4.165300000000001,3.0,3.0,5.886056647693163
